code,section,book,title,chapter,part,addtitional,detail,section_sort
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 10,-,(1)  การใช้รถ,(1)   ลักษณะของรถที่ใช้ในทาง,-,-,ห้ามมิให้ผู้ใดนำรถที่มีล้อหรือส่วนที่สัมผัสกับผิวทางไม่ใช่ยางมาใช้ในทางเดินรถ เว้นแต่เป็นรถที่ได้รับยกเว้นตามที่กำหนดในกฎกระทรวง หรือเป็นรถที่ได้รับอนุญาตจากหัวหน้าเจ้าพนักงานจราจร*,11
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 10 ทวิ,-,(1)  การใช้รถ,(1)   ลักษณะของรถที่ใช้ในทาง,-,-,"ห้ามมิให้ผู้ใดนำรถที่เครื่องยนต์ก่อให้เกิดก๊าซ ฝุ่น ควัน ละอองเคมี หรือเสียงเกินเกณฑ์ที่ผู้บัญชาการตำรวจแห่งชาติกำหนดโดยประกาศในราชกิจจานุเบกษา มาใช้ในทางเดินรถ

[คำว่า “ผู้บัญชาการตำรวจแห่งชาติ” แก้ไขเพิ่มเติมโดยมาตรา 4 แห่งพระราชบัญญัติจราจรทางบก (ฉบับที่ 11) พ.ศ. 2559]",12
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 11,-,(1)  การใช้รถ,(2)  การใช้ไฟหรือเสียงสัญญาณของรถ,-,-,ในเวลาที่มีแสงสว่างไม่เพียงพอที่จะมองเห็นคน รถหรือสิ่งกีดขวางในทางได้โดยชัดแจ้งภายในระยะไม่น้อยกว่าหนึ่งร้อยห้าสิบเมตร ผู้ขับขี่ซึ่งขับรถในทางต้องเปิดไฟ หรือใช้แสงสว่างตามประเภท ลักษณะ และเงื่อนไขที่กำหนดในกฎกระทรวง,13
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 12,-,(1)  การใช้รถ,(2)  การใช้ไฟหรือเสียงสัญญาณของรถ,-,-,"รถแต่ละชนิดที่ใช้ในทางเดินรถ ผู้ขับขี่ต้องใช้เสียงสัญญาณโดยเฉพาะดังต่อไปนี้

(1) เสียงแตร สำหรับรถยนต์หรือรถจักรยานยนต์ และให้ได้ยินได้ในระยะไม่น้อยกว่าหกสิบเมตร

(2) เสียงระฆัง สำหรับรถม้า และให้ได้ยินได้ในระยะไม่น้อยกว่าสามสิบเมตร

(3) เสียงกระดิ่ง สำหรับรถจักรยาน และให้ได้ยินได้ในระยะไม่น้อยกว่าสามสิบเมตร

ส่วนรถอื่นนอกจากที่กล่าวข้างต้น ผู้ขับขี่ต้องใช้เสียงสัญญาณตามที่ผู้บัญชาการตำรวจแห่งชาติกำหนดโดยประกาศในราชกิจจานุเบกษา

[คำว่า “ผู้บัญชาการตำรวจแห่งชาติ” แก้ไขเพิ่มเติมโดยมาตรา 4 แห่งพระราชบัญญัติจราจรทางบก (ฉบับที่ 11) พ.ศ. 2559]",14
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 13,-,(1)  การใช้รถ,(2)  การใช้ไฟหรือเสียงสัญญาณของรถ,-,-,"ห้ามมิให้ผู้ขับขี่ซึ่งขับรถทุกชนิดในทางเดินรถใช้ไฟสัญญาณแสงวับวาบ เสียงสัญญาณไซเรน เสียงสัญญาณที่เป็นเสียงนกหวีด เสียงที่แตกพร่า เสียงหลายเสียง เสียงดังเกินสมควร หรือเสียงสัญญาณอย่างอื่นตามที่ผู้บัญชาการตำรวจแห่งชาติกำหนดโดยประกาศในราชกิจจานุเบกษา

ผู้บัญชาการตำรวจแห่งชาติมีอำนาจอนุญาตให้รถฉุกเฉิน รถในราชการทหารหรือตำรวจ หรือรถอื่นใช้ไฟสัญญาณวับวาบหรือใช้เสียงสัญญาณไซเรนหรือเสียงสัญญาณอย่างอื่นได้ ในการนี้ผู้บัญชาการตำรวจแห่งชาติจะกำหนดเงื่อนไขในการใช้ไฟสัญญาณหรือเสียงสัญญาณรวมทั้งกำหนดเครื่องหมายที่แสดงถึงลักษณะของรถดังกล่าวด้วยก็ได้โดยประกาศในราชกิจจานุเบกษา

[คำว่า “ผู้บัญชาการตำรวจแห่งชาติ” แก้ไขเพิ่มเติมโดยมาตรา 4 แห่งพระราชบัญญัติจราจรทางบก (ฉบับที่ 11) พ.ศ. 2559]",15
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 14,-,(1)  การใช้รถ,(2)  การใช้ไฟหรือเสียงสัญญาณของรถ,-,-,"การใช้เสียงสัญญาณ ผู้ขับขี่จะใช้ได้เฉพาะเมื่อจำเป็นหรือป้องกันอุบัติเหตุเท่านั้น แต่จะใช้เสียงยาวหรือซ้ำเกินควรไม่ได้

การใช้เสียงสัญญาณของรถหรือการกำหนดเงื่อนไขในการใช้เสียงสัญญาณในเขตหรือท้องที่ใด ให้ผู้บัญชาการตำรวจแห่งชาติกำหนดโดยประกาศในราชกิจจานุเบกษา

[คำว่า “ผู้บัญชาการตำรวจแห่งชาติ” แก้ไขเพิ่มเติมโดยมาตรา 4 แห่งพระราชบัญญัติจราจรทางบก (ฉบับที่ 11) พ.ศ. 2559]",16
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 15,-,(1)  การใช้รถ,(2)  การใช้ไฟหรือเสียงสัญญาณของรถ,-,-,"รถที่บรรทุกของยื่นเกินความยาวของตัวรถ ขณะที่อยู่ในทางเดินรถ และในเวลาต้องเปิดไฟตามมาตรา 11 หรือมาตรา 61 ผู้ขับขี่ต้องจุดไฟสัญญาณแสงแดง หรือในเวลากลางวันต้องติดธงสีแดงไว้ที่ตอนปลายสุดของสิ่งที่บรรทุกนั้น โดยจุดไฟสัญญาณหรือติดธงไว้ให้มองเห็นได้ในระยะไม่น้อยกว่าหนึ่งร้อยห้าสิบเมตร

ไฟสัญญาณแสงแดงหรือธงสีแดงตามวรรคหนึ่ง จะใช้ชนิด ลักษณะ หรือจำนวนเท่าใด ให้ผู้บัญชาการตำรวจแห่งชาติกำหนดโดยประกาศในราชกิจจานุเบกษา

[คำว่า “ผู้บัญชาการตำรวจแห่งชาติ” แก้ไขเพิ่มเติมโดยมาตรา 4 แห่งพระราชบัญญัติจราจรทางบก (ฉบับที่ 11) พ.ศ. 2559]",17
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 16,-,(1)  การใช้รถ,(2)  การใช้ไฟหรือเสียงสัญญาณของรถ,-,-,ผู้ขับขี่ซึ่งขับรถบรรทุกของเหลวไวไฟที่มีจุดวาบไฟในอุณหภูมิยี่สิบเอ็ดองศาเซลเซียส หรือต่ำกว่านั้น หรือที่บรรจุก๊าซไวไฟ ต้องปฏิบัติตามมาตรา 15 และมาตรา 56 แต่ไฟสัญญาณที่ใช้นั้นต้องมิใช่เป็นชนิดที่ใช้เชื้อเพลิง,18
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 17,-,(1)  การใช้รถ,(2)  การใช้ไฟหรือเสียงสัญญาณของรถ,-,-,"ผู้ขับขี่ซึ่งขับรถที่ใช้บรรทุกวัตถุระเบิด หรือวัตถุอันตรายชนิดอื่นใด ต้องจัดให้มีป้ายแสดงถึงวัตถุที่บรรทุกและเครื่องดับเพลิง และต้องปฏิบัติตามเงื่อนไขในการป้องกันอันตราย

ลักษณะและวิธีการติดป้ายแสดงถึงวัตถุที่บรรทุกและเครื่องดับเพลิงตลอดจนเงื่อนไขในการป้องกันอันตราย ให้เป็นไปตามที่กำหนดในกฎกระทรวง
",19
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 18,-,(1)  การใช้รถ,(3)  การบรรทุก,-,-,รถที่ใช้บรรทุกคน สัตว์ หรือสิ่งของ จะใช้บรรทุกในลักษณะใดโดยรถชนิดหรือประเภทใด ให้เป็นไปตามหลักเกณฑ์และวิธีการที่กำหนดในกฎกระทรวง,20
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 19,-,(1)  การใช้รถ,(3)  การบรรทุก,-,-,ในกรณีที่มีความจำเป็นจะต้องบรรทุกคน สัตว์ หรือสิ่งของนอกเหนือไปจากหลักเกณฑ์และวิธีการที่กำหนดในกฎกระทรวง เมื่อเจ้าของรถร้องขอหัวหน้าเจ้าพนักงานจราจร*จะผ่อนผันโดยอนุญาตเป็นหนังสือเป็นการชั่วคราวเฉพาะรายก็ได้,21
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 20,-,(1)  การใช้รถ,(3)  การบรรทุก,-,-,"ผู้ขับขี่ซึ่งขับรถบรรทุกคน สัตว์ หรือสิ่งของ ต้องจัดให้มีสิ่งป้องกันมิให้ คน สัตว์ หรือสิ่งของที่บรรทุกตกหล่น รั่วไหล ส่งกลิ่น ส่องแสงสะท้อน หรือปลิวไปจากรถ อันอาจก่อเหตุเดือดร้อนรำคาญ ทำให้ทางสกปรกเปรอะเปื้อน ทำให้เสื่อมเสียสุขภาพอนามัยแก่ประชาชน หรือก่อให้เกิดอันตรายแก่บุคคลหรือทรัพย์สิน
",22
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 21,-,(2)  สัญญาณจราจรและเครื่องหมายจราจร,-,-,-,"ผู้ขับขี่ต้องปฏิบัติให้ถูกต้องตามสัญญาณจราจรและเครื่องหมายจราจรที่ได้ติดตั้งไว้หรือทำให้ปรากฏในทาง หรือที่เจ้าพนักงานจราจร*แสดงให้ทราบ

สัญญาณจราจร เครื่องหมายจราจร และความหมายของสัญญาณจราจรและเครื่องหมายจราจร ให้ผู้บัญชาการตำรวจแห่งชาติกำหนดโดยประกาศในราชกิจจานุเบกษาและให้มีรูปตัวอย่างแสดงไว้ในประกาศด้วย

[คำว่า “ผู้บัญชาการตำรวจแห่งชาติ” แก้ไขเพิ่มเติมโดยมาตรา 4 แห่งพระราชบัญญัติจราจรทางบก (ฉบับที่ 11) พ.ศ. 2559]",23
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 22,-,(2)  สัญญาณจราจรและเครื่องหมายจราจร,-,-,-,"ผู้ขับขี่ต้องปฏิบัติตามสัญญาณจราจรหรือเครื่องหมายจราจรที่ปรากฏข้างหน้าในกรณีต่อไปนี้

(1) สัญญาณจราจรไฟสีเหลืองอำพัน ให้ผู้ขับขี่เตรียมหยุดรถหลังเส้นให้รถหยุดเพื่อเตรียมปฏิบัติตามสัญญาณที่จะปรากฏต่อไปดังกล่าวใน (2) เว้นแต่ผู้ขับขี่ที่ได้เลยเส้นให้รถหยุดไปแล้วให้เลยไปได้

(2) สัญญาณจราจรไฟสีแดงหรือเครื่องหมายจราจรสีแดงที่มีคำว่า “หยุด” ให้ผู้ขับขี่หยุดรถหลังเส้นให้รถหยุด

(3) สัญญาณจราจรไฟสีเขียวหรือเครื่องหมายจราจรสีเขียวที่มีคำว่า “ไป” ให้ผู้ขับขี่ขับรถต่อไปได้ เว้นแต่จะมีเครื่องหมายจราจรกำหนดไว้เป็นอย่างอื่น

(4) สัญญาณจราจรไฟลูกศรสีเขียวชี้ให้เลี้ยวหรือชี้ให้ตรงไป หรือสัญญาณจราจรไฟสีแดงแสดงพร้อมกับสัญญาณจราจรไฟลูกศรสีเขียวชี้ให้เลี้ยวหรือชี้ให้ตรงไป ให้ผู้ขับขี่เลี้ยวรถหรือขับรถตรงไปได้ตามทิศทางที่ลูกศรชี้ และต้องขับรถด้วยความระมัดระวัง และต้องให้สิทธิแก่คนเดินเท้าในทางข้ามหรือรถที่มาทางขวาก่อน

(5) สัญญาณจราจรไฟกระพริบสีแดง ถ้าติดตั้งอยู่ที่ทางร่วมทางแยกใดเปิดทางด้านใดให้ผู้ขับขี่ที่มาทางด้านนั้นหยุดรถหลังเส้นให้รถหยุด เมื่อเห็นว่าปลอดภัยและไม่เป็นการกีดขวางการจราจรแล้ว จึงให้ขับรถต่อไปได้ด้วยความระมัดระวัง

(6) สัญญาณจราจรไฟกระพริบสีเหลืองอำพัน ถ้าติดตั้งอยู่ ณ ที่ใด ให้ผู้ขับขี่ลดความเร็วของรถลงและผ่านทางเดินรถนั้นไปด้วยความระมัดระวัง

ผู้ขับขี่ซึ่งจะขับรถตรงไปต้องเข้าอยู่ในช่องเดินรถที่มีเครื่องหมายจราจรแสดงให้ตรงไป ส่วนผู้ขับขี่ซึ่งจะเลี้ยวรถต้องเข้าอยู่ในช่องเดินรถที่มีเครื่องหมายจราจรแสดงให้เลี้ยว การเข้าอยู่ในช่องเดินรถดังกล่าวจะต้องเข้าตั้งแต่เริ่มมีเครื่องหมายจราจรแสดงให้ปฏิบัติเช่นนั้น",24
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 23,-,(2)  สัญญาณจราจรและเครื่องหมายจราจร,-,-,-,"ผู้ขับขี่ซึ่งขับรถในทางเดินรถที่มีสัญญาณจราจรไฟสีเขียวหรือไฟสีแดงติดตั้งไว้เหนือช่องเดินรถ มากกว่าสองช่องขึ้นไปต้องปฏิบัติดังต่อไปนี้

(1) สัญญาณจราจรไฟสีแดงที่ทำเป็นรูปกากบาทเฉียงอยู่เหนือช่องเดินรถใด ห้ามมิให้ผู้ขับขี่ขับรถในช่องเดินรถนั้น

(2) สัญญาณจราจรไฟสีเขียวที่ทำเป็นรูปลูกศรอยู่เหนือช่องเดินรถใด ให้ผู้ขับขี่ซึ่งขับรถในช่องเดินรถนั้นขับรถผ่านไปได้",25
